[2021-07-23 07:22:26.678] [remoteagent] [info] 

*
* Visual Studio Code Server
*
* Reminder: You may only use this software with Visual Studio family products,
* as described in the license https://aka.ms/vscode-remote/license
*


[2021-07-23 08:35:46.226] [remoteagent] [warning] Resolved variables received without matching request 147
[2021-07-23 08:35:46.309] [remoteagent] [warning] Resolved variables received without matching request 148
[2021-07-23 08:35:46.309] [remoteagent] [warning] Resolved variables received without matching request 149
[2021-07-23 08:35:46.492] [remoteagent] [warning] Resolved variables received without matching request 150
[2021-07-23 08:35:46.492] [remoteagent] [warning] Resolved variables received without matching request 151
[2021-07-23 08:35:46.613] [remoteagent] [warning] Resolved variables received without matching request 152
[2021-07-23 08:35:46.613] [remoteagent] [warning] Resolved variables received without matching request 153
[2021-07-23 08:35:46.760] [remoteagent] [warning] Resolved variables received without matching request 154
[2021-07-23 08:35:46.760] [remoteagent] [warning] Resolved variables received without matching request 155
[2021-07-23 08:35:46.842] [remoteagent] [warning] Resolved variables received without matching request 156
[2021-07-23 08:35:46.842] [remoteagent] [warning] Resolved variables received without matching request 157
[2021-07-23 08:35:47.028] [remoteagent] [warning] Resolved variables received without matching request 158
[2021-07-23 08:35:47.028] [remoteagent] [warning] Resolved variables received without matching request 159
[2021-07-23 08:35:47.110] [remoteagent] [warning] Resolved variables received without matching request 160
[2021-07-23 08:35:47.110] [remoteagent] [warning] Resolved variables received without matching request 161
[2021-07-23 08:35:47.295] [remoteagent] [warning] Resolved variables received without matching request 162
[2021-07-23 08:35:47.295] [remoteagent] [warning] Resolved variables received without matching request 163
[2021-07-23 08:35:47.378] [remoteagent] [warning] Resolved variables received without matching request 164
[2021-07-23 08:35:47.378] [remoteagent] [warning] Resolved variables received without matching request 165
[2021-07-23 08:35:52.800] [remoteagent] [info] [127.0.0.1][0411dc81][ExtensionHostConnection] The client has reconnected.
[2021-07-23 08:35:55.433] [remoteagent] [info] [127.0.0.1][cd00d4e1][ExtensionHostConnection] The client has reconnected.
[2021-07-23 08:38:12.165] [remoteagent] [info] [127.0.0.1][bd953034][ManagementConnection] The client has disconnected, will wait for reconnection 3h before disposing...
[2021-07-23 08:38:12.165] [remoteagent] [info] [127.0.0.1][4230cbae][ManagementConnection] The client has disconnected, will wait for reconnection 3h before disposing...
[2021-07-23 08:38:12.926] [remoteagent] [info] [127.0.0.1][4230cbae][ManagementConnection] Another client has connected, will shorten the wait for reconnection 5m before disposing...
[2021-07-23 08:38:12.926] [remoteagent] [info] [127.0.0.1][bd953034][ManagementConnection] Another client has connected, will shorten the wait for reconnection 5m before disposing...
[2021-07-23 08:38:12.927] [remoteagent] [info] [127.0.0.1][4230cbae][ManagementConnection] The client has reconnected.
[2021-07-23 08:38:13.394] [remoteagent] [info] [127.0.0.1][bd953034][ManagementConnection] The client has reconnected.
[2021-07-23 08:38:13.667] [remoteagent] [warning] Resolved variables received without matching request 166
[2021-07-23 08:38:13.668] [remoteagent] [warning] Resolved variables received without matching request 167
[2021-07-23 08:38:13.733] [remoteagent] [warning] Resolved variables received without matching request 168
[2021-07-23 08:38:13.733] [remoteagent] [warning] Resolved variables received without matching request 169
[2021-07-23 08:38:13.932] [remoteagent] [warning] Resolved variables received without matching request 170
[2021-07-23 08:38:13.932] [remoteagent] [warning] Resolved variables received without matching request 171
[2021-07-23 08:38:14.003] [remoteagent] [warning] Resolved variables received without matching request 172
[2021-07-23 08:38:14.003] [remoteagent] [warning] Resolved variables received without matching request 173
[2021-07-23 08:38:14.196] [remoteagent] [warning] Resolved variables received without matching request 174
[2021-07-23 08:38:14.196] [remoteagent] [warning] Resolved variables received without matching request 175
[2021-07-23 08:38:14.304] [remoteagent] [warning] Resolved variables received without matching request 176
[2021-07-23 08:38:14.304] [remoteagent] [warning] Resolved variables received without matching request 177
[2021-07-23 08:38:14.464] [remoteagent] [warning] Resolved variables received without matching request 178
